FAC1_1,FAC2_1,FAC3_1,FAC4_1
-0.835582009,0.723377934,-1.923048346,-1.078837794
-0.829437444,0.88228694,-1.925860001,-0.17162887
-1.061240863,1.218770969,0.02941184,1.166542881
0.417571916,-0.188809542,1.26680442,1.898567688
-0.607277877,0.479634388,0.646395584,-1.094416087
-0.767702124,0.873827642,0.13310679,-1.058478029
2.024004838,-0.117962111,-0.931449404,0.165583919
0.010244237,1.730821795,0.657542848,-0.383979539
-0.834934033,1.598145949,-1.939634746,-1.114696828
0.082099988,0.767341589,-0.268419762,-1.135051741
0.04818875,1.468135108,0.134787868,-0.706790474
-0.095775255,1.051227045,1.57839389,-1.011355427
0.780784111,1.483002379,-0.638905548,-1.195724891
-0.362517492,0.300560291,0.038408876,0.229067464
-0.36842615,0.496926158,-0.184801133,1.177018913
-0.988647829,1.183657795,-0.296055458,-0.984139108
0.3738057,1.032443386,-0.537965317,-1.242287222
2.044668533,-0.949974839,-1.465089644,0.781323955
0.324457606,1.394319537,-0.380250979,-1.111027454
-1.298549098,-0.926723067,-0.052000599,0.309458072
0.681098066,1.036228366,1.574838943,0.372111785
0.303585283,0.443888178,0.015885098,1.514944807
0.749723133,-0.445463069,0.546540696,0.384873224
0.74303169,1.670937264,-1.207621136,-0.537677638
-1.12842169,1.049576915,0.178649867,-1.011038354
-0.163935361,0.609331383,1.19506368,0.745770322
-1.260960781,0.513421153,-1.697725267,-1.429182073
0.731940557,0.488314383,0.563029402,0.213835787
1.728913286,0.846304514,-0.152751997,1.43466521
0.407368089,0.778626925,0.555252936,-1.126882429
-1.210110093,1.090474008,-0.217484896,2.133658403
1.565178551,0.698079499,-0.158486661,-1.4386259
-0.422880808,1.144910524,0.600093841,-0.695012359
-0.99179458,0.881741767,1.543553617,-1.207187047
-0.912166747,0.481363881,-0.142209102,2.279472101
1.022616208,0.731320346,-0.082247568,-1.663316817
-0.529081903,1.516183323,1.532617313,-1.001656493
0.0884422,0.611041639,-0.274524418,-1.135299136
-1.208493281,-0.63542831,0.276718335,0.247209575
-1.050829187,0.443389862,-0.688864603,0.746211824
0.513918189,1.63501616,-0.412956786,-0.990358946
2.717506355,-0.241845184,-1.928473121,-0.182147852
0.199440435,-0.479066615,0.184285945,2.065856199
-1.453390551,-0.394238723,-0.090964784,2.05576675
2.097794119,-0.253095544,-1.554518678,0.909044075
0.665896043,0.610059539,-1.073530728,2.162318193
-1.140501086,0.869348509,0.20710751,1.385619825
-0.937153595,-0.351713332,0.167087685,0.261505007
